2025-12-29 08:45:28,989 INFO: [cfg] BASE_MODEL=/root/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28
2025-12-29 08:45:28,989 INFO: [cfg] train_file=data/train/sft_train.jsonl
2025-12-29 08:45:28,989 INFO: [cfg] eval_file=data/train/sft_dev.jsonl
2025-12-29 08:45:28,989 INFO: [cfg] out_dir=outputs/envgpt_qwen2p5_7b_lora
2025-12-29 08:45:28,989 INFO: [cfg] max_seq_len=2048 lr=0.0002 epochs=1.0 bsz=1 gas=8
2025-12-29 08:45:29,137 INFO: [cfg] cuda available, TF32 enabled
2025-12-29 08:45:29,138 INFO: [init] loading tokenizer...
2025-12-29 08:45:29,402 INFO: [cfg] torch_dtype=torch.bfloat16
2025-12-29 08:45:29,402 INFO: [init] loading model...
2025-12-29 08:45:29,559 INFO: We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
2025-12-29 08:45:33,144 INFO: [data] loading dataset jsonl...
2025-12-29 08:45:34,225 INFO: [data] train=43750 eval=911
2025-12-29 08:45:34,225 INFO: [data] building text field (no disk cache)...
2025-12-29 08:45:38,585 INFO: [data] after filter: train=43750 eval=911
2025-12-29 08:45:38,638 INFO: [train] TrainingArguments created.
2025-12-29 08:46:42,468 INFO: [train] trainer built, starting training...
{'loss': 1.6893, 'grad_norm': 0.5735070109367371, 'learning_rate': 2.3030303030303034e-05, 'entropy': 0.911448935419321, 'num_tokens': 129084.0, 'mean_token_accuracy': 0.7161788310855627, 'epoch': 0.0}
{'loss': 1.2544, 'grad_norm': 0.40660643577575684, 'learning_rate': 4.7272727272727275e-05, 'entropy': 1.047684746608138, 'num_tokens': 257468.0, 'mean_token_accuracy': 0.7467487014830112, 'epoch': 0.01}
{'loss': 0.955, 'grad_norm': 0.3778507113456726, 'learning_rate': 7.151515151515152e-05, 'entropy': 0.9840594835579395, 'num_tokens': 386211.0, 'mean_token_accuracy': 0.7899451341480017, 'epoch': 0.01}
{'loss': 0.8919, 'grad_norm': 0.22276991605758667, 'learning_rate': 9.575757575757576e-05, 'entropy': 0.908759905770421, 'num_tokens': 514272.0, 'mean_token_accuracy': 0.8000922158360482, 'epoch': 0.01}
{'loss': 0.89, 'grad_norm': 0.20706702768802643, 'learning_rate': 0.00012, 'entropy': 0.8979633063077926, 'num_tokens': 642738.0, 'mean_token_accuracy': 0.8013799488544464, 'epoch': 0.02}
{'loss': 0.881, 'grad_norm': 0.23273076117038727, 'learning_rate': 0.00014424242424242425, 'entropy': 0.8893577566370368, 'num_tokens': 768986.0, 'mean_token_accuracy': 0.8026137605309487, 'epoch': 0.02}
{'loss': 0.8652, 'grad_norm': 0.231125146150589, 'learning_rate': 0.00016848484848484848, 'entropy': 0.8739903355017304, 'num_tokens': 899918.0, 'mean_token_accuracy': 0.8037762120366096, 'epoch': 0.03}
{'loss': 0.8614, 'grad_norm': 0.2080777883529663, 'learning_rate': 0.00019272727272727274, 'entropy': 0.8777408927679062, 'num_tokens': 1031763.0, 'mean_token_accuracy': 0.8036528017371893, 'epoch': 0.03}
{'loss': 0.862, 'grad_norm': 0.2255949079990387, 'learning_rate': 0.00019999656191743725, 'entropy': 0.8701338868588209, 'num_tokens': 1161217.0, 'mean_token_accuracy': 0.8046000402420759, 'epoch': 0.03}
{'loss': 0.8456, 'grad_norm': 0.19970645010471344, 'learning_rate': 0.00019997972289848503, 'entropy': 0.8577425351366401, 'num_tokens': 1289909.0, 'mean_token_accuracy': 0.8087536349892617, 'epoch': 0.04}
{'loss': 0.8618, 'grad_norm': 0.2043456733226776, 'learning_rate': 0.00019994885381864085, 'entropy': 0.8650053115561604, 'num_tokens': 1418469.0, 'mean_token_accuracy': 0.8063828203827142, 'epoch': 0.04}
{'loss': 0.8576, 'grad_norm': 0.19072727859020233, 'learning_rate': 0.00019990395900973374, 'entropy': 0.8686334226280451, 'num_tokens': 1543863.0, 'mean_token_accuracy': 0.8040078554302454, 'epoch': 0.04}
{'loss': 0.8705, 'grad_norm': 0.21986868977546692, 'learning_rate': 0.00019984504477181024, 'entropy': 0.8820623718202114, 'num_tokens': 1673064.0, 'mean_token_accuracy': 0.8022537063807249, 'epoch': 0.05}
{'loss': 0.8526, 'grad_norm': 0.20962868630886078, 'learning_rate': 0.0001997721193722502, 'entropy': 0.8630654577165842, 'num_tokens': 1803357.0, 'mean_token_accuracy': 0.8077644392848015, 'epoch': 0.05}
{'loss': 0.8608, 'grad_norm': 0.17587712407112122, 'learning_rate': 0.0001996851930446066, 'entropy': 0.8765745896846056, 'num_tokens': 1931868.0, 'mean_token_accuracy': 0.8031293079257011, 'epoch': 0.05}
{'loss': 0.8596, 'grad_norm': 0.19606703519821167, 'learning_rate': 0.00019958427798716963, 'entropy': 0.8689148562029004, 'num_tokens': 2059683.0, 'mean_token_accuracy': 0.8060620497912169, 'epoch': 0.06}
{'loss': 0.8475, 'grad_norm': 0.1967075616121292, 'learning_rate': 0.00019946938836125483, 'entropy': 0.8588253874331713, 'num_tokens': 2189392.0, 'mean_token_accuracy': 0.8058272644877433, 'epoch': 0.06}
{'loss': 0.8434, 'grad_norm': 0.21222397685050964, 'learning_rate': 0.00019934054028921582, 'entropy': 0.8580409202724695, 'num_tokens': 2317518.0, 'mean_token_accuracy': 0.8082493167370558, 'epoch': 0.07}
{'loss': 0.8494, 'grad_norm': 0.19134901463985443, 'learning_rate': 0.0001991977518521818, 'entropy': 0.8557266576215625, 'num_tokens': 2445130.0, 'mean_token_accuracy': 0.8045943692326546, 'epoch': 0.07}
{'loss': 0.8543, 'grad_norm': 0.22815489768981934, 'learning_rate': 0.0001990410430875205, 'entropy': 0.8678896609693766, 'num_tokens': 2573144.0, 'mean_token_accuracy': 0.8052252400666475, 'epoch': 0.07}
{'loss': 0.8618, 'grad_norm': 0.2259627878665924, 'learning_rate': 0.00019887043598602617, 'entropy': 0.8714210901409387, 'num_tokens': 2699556.0, 'mean_token_accuracy': 0.8042976006865501, 'epoch': 0.08}
{'loss': 0.8591, 'grad_norm': 0.20563091337680817, 'learning_rate': 0.00019868595448883352, 'entropy': 0.8763887532055378, 'num_tokens': 2824861.0, 'mean_token_accuracy': 0.8037447083741427, 'epoch': 0.08}
{'loss': 0.8349, 'grad_norm': 0.20163272321224213, 'learning_rate': 0.00019848762448405834, 'entropy': 0.8513660985976458, 'num_tokens': 2953811.0, 'mean_token_accuracy': 0.8080985359847546, 'epoch': 0.08}
{'loss': 0.8459, 'grad_norm': 0.19980937242507935, 'learning_rate': 0.00019827547380316446, 'entropy': 0.8610744621604681, 'num_tokens': 3080595.0, 'mean_token_accuracy': 0.8074219908565283, 'epoch': 0.09}
{'loss': 0.8417, 'grad_norm': 0.19453011453151703, 'learning_rate': 0.00019804953221705832, 'entropy': 0.8529355399310589, 'num_tokens': 3210193.0, 'mean_token_accuracy': 0.8068769033998251, 'epoch': 0.09}
{'eval_loss': 0.858535647392273, 'eval_runtime': 79.5827, 'eval_samples_per_second': 11.447, 'eval_steps_per_second': 11.447, 'eval_entropy': 0.8578725620433606, 'eval_num_tokens': 3210193.0, 'eval_mean_token_accuracy': 0.8076278719106438, 'epoch': 0.09}
{'loss': 0.8393, 'grad_norm': 0.24155424535274506, 'learning_rate': 0.00019780983143191102, 'entropy': 0.8508845964446664, 'num_tokens': 3338790.0, 'mean_token_accuracy': 0.8092269204556942, 'epoch': 0.1}
{'loss': 0.8337, 'grad_norm': 0.1998213827610016, 'learning_rate': 0.00019755640508470942, 'entropy': 0.8410882450640201, 'num_tokens': 3465405.0, 'mean_token_accuracy': 0.8094094924628734, 'epoch': 0.1}
{'loss': 0.8362, 'grad_norm': 0.21557077765464783, 'learning_rate': 0.00019728928873853535, 'entropy': 0.8474753923714161, 'num_tokens': 3594875.0, 'mean_token_accuracy': 0.8072509180754424, 'epoch': 0.1}
{'loss': 0.8407, 'grad_norm': 0.20199576020240784, 'learning_rate': 0.0001970085198775757, 'entropy': 0.8568269941955805, 'num_tokens': 3723337.0, 'mean_token_accuracy': 0.8084641415625811, 'epoch': 0.11}
{'loss': 0.8287, 'grad_norm': 0.21236345171928406, 'learning_rate': 0.0001967141379018617, 'entropy': 0.8387911792844533, 'num_tokens': 3853054.0, 'mean_token_accuracy': 0.808427769318223, 'epoch': 0.11}
{'loss': 0.8253, 'grad_norm': 0.2270006686449051, 'learning_rate': 0.00019640618412174039, 'entropy': 0.8368138404563069, 'num_tokens': 3983028.0, 'mean_token_accuracy': 0.8105682235211134, 'epoch': 0.11}
{'loss': 0.845, 'grad_norm': 0.2202395349740982, 'learning_rate': 0.00019608470175207733, 'entropy': 0.8587825734168291, 'num_tokens': 4110464.0, 'mean_token_accuracy': 0.8077611546963454, 'epoch': 0.12}
{'loss': 0.8357, 'grad_norm': 0.2169325351715088, 'learning_rate': 0.00019574973590619243, 'entropy': 0.8464569948613644, 'num_tokens': 4238466.0, 'mean_token_accuracy': 0.8076694153249264, 'epoch': 0.12}
{'loss': 0.8347, 'grad_norm': 0.2466537207365036, 'learning_rate': 0.0001954013335895292, 'entropy': 0.8523408384993673, 'num_tokens': 4366731.0, 'mean_token_accuracy': 0.8096302520483732, 'epoch': 0.12}
{'loss': 0.8329, 'grad_norm': 0.2133600264787674, 'learning_rate': 0.00019503954369305847, 'entropy': 0.8459934264421463, 'num_tokens': 4495745.0, 'mean_token_accuracy': 0.8089613493531942, 'epoch': 0.13}
{'loss': 0.8149, 'grad_norm': 0.20573347806930542, 'learning_rate': 0.0001946644169864176, 'entropy': 0.8360685613006353, 'num_tokens': 4625529.0, 'mean_token_accuracy': 0.8118008926510811, 'epoch': 0.13}
{'loss': 0.8355, 'grad_norm': 0.23483209311962128, 'learning_rate': 0.0001942760061107861, 'entropy': 0.8523236159235239, 'num_tokens': 4753572.0, 'mean_token_accuracy': 0.8090634156018496, 'epoch': 0.14}
{'loss': 0.8378, 'grad_norm': 0.18659113347530365, 'learning_rate': 0.00019387436557149841, 'entropy': 0.8497455395758152, 'num_tokens': 4881245.0, 'mean_token_accuracy': 0.8106220383197069, 'epoch': 0.14}
{'loss': 0.8481, 'grad_norm': 0.22164006531238556, 'learning_rate': 0.0001934595517303953, 'entropy': 0.8606816790997982, 'num_tokens': 5009387.0, 'mean_token_accuracy': 0.8057333085685968, 'epoch': 0.14}
{'loss': 0.8406, 'grad_norm': 0.22422045469284058, 'learning_rate': 0.0001930316227979147, 'entropy': 0.8499201387166977, 'num_tokens': 5134711.0, 'mean_token_accuracy': 0.8060626957565546, 'epoch': 0.15}
{'loss': 0.8339, 'grad_norm': 0.25187477469444275, 'learning_rate': 0.00019259063882492292, 'entropy': 0.850549104064703, 'num_tokens': 5262186.0, 'mean_token_accuracy': 0.8096925653517246, 'epoch': 0.15}
{'loss': 0.8251, 'grad_norm': 0.26282650232315063, 'learning_rate': 0.000192136661694288, 'entropy': 0.8416131498292089, 'num_tokens': 5392633.0, 'mean_token_accuracy': 0.8098222244530916, 'epoch': 0.15}
{'loss': 0.8249, 'grad_norm': 0.22213496267795563, 'learning_rate': 0.00019166975511219553, 'entropy': 0.8434449877589941, 'num_tokens': 5520548.0, 'mean_token_accuracy': 0.8121794603765011, 'epoch': 0.16}
{'loss': 0.8322, 'grad_norm': 0.21539942920207977, 'learning_rate': 0.00019118998459920902, 'entropy': 0.8470297740772367, 'num_tokens': 5645382.0, 'mean_token_accuracy': 0.8088795326650142, 'epoch': 0.16}
{'loss': 0.8168, 'grad_norm': 0.2155642956495285, 'learning_rate': 0.00019069741748107522, 'entropy': 0.829602961614728, 'num_tokens': 5774954.0, 'mean_token_accuracy': 0.8120502263307572, 'epoch': 0.16}
{'loss': 0.8353, 'grad_norm': 0.23658356070518494, 'learning_rate': 0.00019019212287927663, 'entropy': 0.8534747308120132, 'num_tokens': 5903102.0, 'mean_token_accuracy': 0.8074869677424431, 'epoch': 0.17}
{'loss': 0.8269, 'grad_norm': 0.23429031670093536, 'learning_rate': 0.0001896741717013315, 'entropy': 0.8362910175696016, 'num_tokens': 6026834.0, 'mean_token_accuracy': 0.8098363071680069, 'epoch': 0.17}
{'loss': 0.8141, 'grad_norm': 0.2439442127943039, 'learning_rate': 0.00018914363663084368, 'entropy': 0.8332350868731737, 'num_tokens': 6153532.0, 'mean_token_accuracy': 0.8121386673301458, 'epoch': 0.18}
{'loss': 0.8271, 'grad_norm': 0.24092285335063934, 'learning_rate': 0.00018860059211730276, 'entropy': 0.8376621888950467, 'num_tokens': 6280807.0, 'mean_token_accuracy': 0.8106228243559599, 'epoch': 0.18}
{'loss': 0.8237, 'grad_norm': 0.25249192118644714, 'learning_rate': 0.0001880451143656368, 'entropy': 0.8374804012477398, 'num_tokens': 6408169.0, 'mean_token_accuracy': 0.8091495148837566, 'epoch': 0.18}
{'eval_loss': 0.8379473090171814, 'eval_runtime': 79.6618, 'eval_samples_per_second': 11.436, 'eval_steps_per_second': 11.436, 'eval_entropy': 0.8319224383514354, 'eval_num_tokens': 6408169.0, 'eval_mean_token_accuracy': 0.8108172319853999, 'epoch': 0.18}
{'loss': 0.8092, 'grad_norm': 0.225893035531044, 'learning_rate': 0.0001874772813255186, 'entropy': 0.8256049089133739, 'num_tokens': 6535714.0, 'mean_token_accuracy': 0.8132393732666969, 'epoch': 0.19}
{'loss': 0.8196, 'grad_norm': 0.22636403143405914, 'learning_rate': 0.0001868971726804269, 'entropy': 0.8353710688650609, 'num_tokens': 6666087.0, 'mean_token_accuracy': 0.8117632634937764, 'epoch': 0.19}
